Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Contact_surface_8_Async
90,81,78,57,81,63,65,68,75,68,72,62,60,65,62,42,467
21,33,32,60,29,74,55,90,43,47,61,97,53,94,100,200,905
142,87,78,60,79,73,53,59,76,61,85,42,70,43,48,33,402
822,61,58,5,59,5,5,0,61,2,6,0,4,1,0,0,11
68,61,73,57,60,71,65,69,64,66,55,80,67,67,72,94,601
175,112,108,52,100,55,56,36,103,55,56,33,69,25,27,27,291
64,73,66,66,77,75,53,76,72,64,87,58,56,69,75,58,536
67,71,69,67,69,59,49,74,63,62,67,59,75,59,66,113,618
90,76,77,66,74,67,64,66,80,67,60,64,65,61,70,42,474
48,39,45,72,48,60,57,74,42,49,60,88,66,91,77,173,805
122,94,96,65,95,60,58,51,99,67,54,44,61,43,56,24,362
311,122,117,41,122,30,44,17,118,44,39,12,40,17,13,2,138
254,116,105,51,113,48,49,21,116,39,56,20,43,28,21,9,207
207,114,114,43,116,54,54,27,115,55,55,26,40,28,28,13,231
2,8,9,45,11,38,13,87,12,19,36,82,39,84,91,513,1449
142,84,82,71,79,65,56,50,87,53,59,51,71,48,53,38,411
218,102,107,57,106,55,55,24,107,54,49,30,53,29,29,14,247
96,78,75,66,68,59,55,70,73,56,57,66,78,59,65,68,526
163,100,104,57,109,69,43,33,101,45,73,35,51,40,34,32,331
40,45,37,71,42,57,57,91,39,52,68,88,72,93,85,152,795
6,20,17,60,17,52,30,99,28,34,44,92,52,92,107,339,1172
436,113,111,23,107,40,30,5,117,23,32,10,23,6,9,4,97
982,27,26,0,26,0,1,0,27,0,0,0,0,0,0,0,0
274,105,113,45,112,49,41,21,102,46,51,24,49,23,18,16,215
70,60,54,73,67,73,59,67,65,57,81,63,55,76,72,97,613
4,7,7,31,10,34,6,74,9,10,35,70,26,73,76,617,1590
285,115,115,39,109,52,29,28,104,36,57,21,56,15,17,11,205
134,78,80,71,76,69,57,45,86,52,57,52,67,48,53,64,458
641,90,84,19,85,12,14,4,90,10,13,2,18,3,4,0,44
